Status,PUID,Name,Version,Score
STUB,fmt/183,PrimeOCR,3.0,5
STUB,fmt/184,PrimeOCR,3.8,5
STUB,fmt/185,Prime OCR,3.9,5
STUB,fmt/186,PrimeOCR,4.0,5
STUB,fmt/187,PrimeOCR,4.2,5
STUB,fmt/188,PrimeOCR,4.3,5
STUB,fmt/189,Microsoft Office Open XML,2007,5
ADEQUATE,fmt/19,Acrobat PDF 1.5 - Portable Document Format,1.5,7
INCOMPLETE,fmt/190,Adobe FrameMaker,5.0,0
INCOMPLETE,fmt/191,Sony RAW Image File,[?],0
INCOMPLETE,fmt/192,Kodak Digital Camera Raw Image File,[?],0
INCOMPLETE,fmt/193,Digital Moving Picture Exchange Bitmap,[?],0
INCOMPLETE,fmt/194,FileMaker Pro Ver. 7+ Database Document,[?],0
INCOMPLETE,fmt/195,ERDAS IMAGINE Gray-scale Bitmap Image,[?],0
INCOMPLETE,fmt/196,InDesign Document,[?],0
INCOMPLETE,fmt/197,InstallShield Compiled Rules File,[?],0
INCOMPLETE,fmt/198,"MPEG Audio Stream, Layer II",[?],0
STUB,fmt/199,MPEG-4 Media File,[?],5
ADEQUATE,fmt/2,Broadcast WAVE,1,7
ADEQUATE,fmt/20,Acrobat PDF 1.6 - Portable Document Format,1.6,7
INCOMPLETE,fmt/200,Material Exchange Format,[?],0
INCOMPLETE,fmt/201,Mathematica Notebook,[?],0
INCOMPLETE,fmt/202,Nikon Digital SLR Camera Raw Image File,[?],0
INCOMPLETE,fmt/203,Ogg Vorbis Codec Compressed Multimedia File,[?],0
INCOMPLETE,fmt/204,RealVideo Clip,[?],0
INCOMPLETE,fmt/205,Synchronized Multimedia Integration Language,[?],0
INCOMPLETE,fmt/206,Structured Query Language Data,[?],0
INCOMPLETE,fmt/207,Obsidium Project File,[?],0
INCOMPLETE,fmt/208,Binary File,[?],0
INCOMPLETE,fmt/209,Sound Designer II Audio File,[?],0
STUB,fmt/21,AutoCAD Drawing,1.0,5
INCOMPLETE,fmt/210,Statistica Report File,[?],0
INCOMPLETE,fmt/211,Kodak Photo-CD,[?],0
INCOMPLETE,fmt/212,Information or Setup File,[?],0
INCOMPLETE,fmt/213,ScanIt Document,[?],0
INCOMPLETE,fmt/214,Microsoft Excel for Windows,2007,0
INCOMPLETE,fmt/215,Microsoft Powerpoint for Windows,2007,0
INCOMPLETE,fmt/216,Microsoft Visio for Windows,2007,0
INCOMPLETE,fmt/217,PaintShopPro Browser Cache File,[?],0
INCOMPLETE,fmt/218,Microsoft FrontPage,[?],0
INCOMPLETE,fmt/219,Microsoft Works  Database for Windows,2.0,0
STUB,fmt/22,AutoCAD Drawing,1.2,5
INCOMPLETE,fmt/220,Microsoft Works Spreadsheet for Windows,2.0,0
INCOMPLETE,fmt/221,Microsoft Works Word Processor for Windows,2.0,0
INCOMPLETE,fmt/222,Microsoft Works  Database for Windows,2.0a,0
INCOMPLETE,fmt/223,Microsoft Works  Database for Windows,3.0,0
INCOMPLETE,fmt/224,Microsoft Works  Database for Windows,3.0a,0
INCOMPLETE,fmt/225,Microsoft Works  Database for Windows,3.0b,0
INCOMPLETE,fmt/226,Microsoft Works  Database for Windows,4.0,0
INCOMPLETE,fmt/227,Microsoft Works Spreadsheet for Windows,2.0a,0
INCOMPLETE,fmt/228,Microsoft Works Spreadsheet for Windows,3.0,0
INCOMPLETE,fmt/229,Microsoft Works Spreadsheet for Windows,3.0a,0
STUB,fmt/23,AutoCAD Drawing,1.3,5
INCOMPLETE,fmt/230,Microsoft Works Spreadsheet for Windows,3.0b,0
INCOMPLETE,fmt/231,Microsoft Works Spreadsheet for Windows,4.0,0
INCOMPLETE,fmt/232,Microsoft Works Word Processor for Windows,2.0a,0
INCOMPLETE,fmt/233,Microsoft Works Word Processor for Windows,3.0,0
INCOMPLETE,fmt/234,Microsoft Works Word Processor for Windows,3.0a,0
INCOMPLETE,fmt/235,Microsoft Works Word Processor for Windows,3.0b,0
INCOMPLETE,fmt/236,Microsoft Works Word Processor for Windows,4.0,0
INCOMPLETE,fmt/237,Microsoft Office Binder File for Windows,95,0
INCOMPLETE,fmt/238,Microsoft Office Binder Template for Windows,95,0
INCOMPLETE,fmt/239,Microsoft Office Binder Wizard for Windows,95,0
STUB,fmt/24,AutoCAD Drawing,1.4,5
INCOMPLETE,fmt/240,Microsoft Office Binder File for Windows,97-2003,0
INCOMPLETE,fmt/241,Microsoft Office Binder Template for Windows,97-2003,0
INCOMPLETE,fmt/242,Microsoft Office Binder Wizard for Windows,97-2003,0
INCOMPLETE,fmt/243,GPS eXchange Format,[?],0
INCOMPLETE,fmt/244,Keyhole Markup Language,[?],0
INCOMPLETE,fmt/245,Structured Data Exchange Format,[?],0
INCOMPLETE,fmt/246,Microsoft Works Database for Windows,4.0a,0
INCOMPLETE,fmt/247,Microsoft Works Spreadsheet for Windows,4.0a,0
INCOMPLETE,fmt/248,Microsoft Works Word Processor Windows,4.0a,0
INCOMPLETE,fmt/249,Microsoft Works Database for Windows,4.5,0
STUB,fmt/25,AutoCAD Drawing,2.0,5
INCOMPLETE,fmt/250,Microsoft Works Spreadsheet for Windows,4.5,0
INCOMPLETE,fmt/251,Microsoft Works Word Processor Windows,4.5,0
INCOMPLETE,fmt/252,Microsoft Works Database for Windows,4.5a,0
INCOMPLETE,fmt/253,Microsoft Works Spreadsheet for Windows,4.5a,0
INCOMPLETE,fmt/254,Microsoft Works Word Processor Windows,4.5a,0
INCOMPLETE,fmt/255,Document Express with DjVu Professional Edition,6.5,0
INCOMPLETE,fmt/256,Microsoft Works Database for Windows,2000,0
INCOMPLETE,fmt/257,Microsoft Works Spreadsheet for Windows,2000,0
INCOMPLETE,fmt/258,Microsoft Works Word Processor Windows,2000,0
INCOMPLETE,fmt/259,Microsoft Works Database for DOS,3,0
STUB,fmt/26,AutoCAD Drawing,2.1,5
INCOMPLETE,fmt/260,Microsoft Works Database for DOS,3a,0
INCOMPLETE,fmt/261,Microsoft Works Database for DOS,3b,0
INCOMPLETE,fmt/262,Microsoft Works Spreadsheet for DOS,3,0
INCOMPLETE,fmt/263,Microsoft Works Spreadsheet for DOS,3a,0
INCOMPLETE,fmt/264,Microsoft Works Spreadsheet for DOS,3b,0
INCOMPLETE,fmt/265,Microsoft Works Word Processor DOS,3,0
INCOMPLETE,fmt/266,Microsoft Works Word Processor DOS,3a,0
INCOMPLETE,fmt/267,Microsoft Works Word Processor DOS,3b,0
INCOMPLETE,fmt/268,Microsoft Works Database for Macintosh,3,0
INCOMPLETE,fmt/269,Microsoft Works Database for Macintosh,4,0
STUB,fmt/27,AutoCAD Drawing,2.2,5
INCOMPLETE,fmt/270,Microsoft Works Spreadsheet for Macintosh,3,0
INCOMPLETE,fmt/271,Microsoft Works Spreadsheet for Macintosh,4,0
INCOMPLETE,fmt/272,Microsoft Works Word Processor Macintosh,3,0
