Status,PUID,Name,Version,Score
INCOMPLETE,x-fmt/2,Microsoft Word for  Macintosh Document,6.0,0
INCOMPLETE,x-fmt/20,Adobe Illustrator,[?],0
INCOMPLETE,x-fmt/200,PageMaker Time Stamp File,4.0,0
INCOMPLETE,x-fmt/201,CCITT G.711 Audio,[?],0
INCOMPLETE,x-fmt/202,Corel Wavelet Compressed Bitmap,[?],0
INCOMPLETE,x-fmt/203,WordPerfect for Windows Document,5.2,0
INCOMPLETE,x-fmt/204,Microsoft Word for Windows Macro,[?],0
INCOMPLETE,x-fmt/205,WordStar for MS-DOS Document,5.0,0
INCOMPLETE,x-fmt/206,WordStar for Windows Document,1.0,0
INCOMPLETE,x-fmt/207,X-Windows Bitmap,X11,0
INCOMPLETE,x-fmt/208,X-Windows Pixmap,X10,0
INCOMPLETE,x-fmt/209,SDSC Image Tool X Window Dump Format,[?],0
INCOMPLETE,x-fmt/21,7-bit ANSI Text,[?],0
INCOMPLETE,x-fmt/210,XYWrite Document,[?],0
INCOMPLETE,x-fmt/211,XYWrite Document,III,0
INCOMPLETE,x-fmt/212,Lotus 1-2-3 Worksheet,5.0,0
INCOMPLETE,x-fmt/213,Quicken Data File,[?],0
INCOMPLETE,x-fmt/214,Windows Paint,3.x,0
INCOMPLETE,x-fmt/215,GEM Metafile Format,[?],0
INCOMPLETE,x-fmt/216,Microsoft Powerpoint Packaged Presentation,[?],0
INCOMPLETE,x-fmt/217,Adobe ACD,[?],0
STUB,x-fmt/218,ESRI Arc/Info Binary Grid,[?],5
INCOMPLETE,x-fmt/219,Alexa Archive File,[?],0
INCOMPLETE,x-fmt/22,7-bit ASCII Text,[?],0
STUB,x-fmt/220,Applixware Spreadsheet,[?],5
INCOMPLETE,x-fmt/221,MapBrowser/MapWriter Vector Map Data,[?],0
INCOMPLETE,x-fmt/222,CD Audio,[?],0
STUB,x-fmt/223,Autodesk Animator CEL File Format,[?],5
INCOMPLETE,x-fmt/224,Cascading Style Sheet,[?],0
INCOMPLETE,x-fmt/225,ESRI MapInfo Data File,[?],0
STUB,x-fmt/226,ESRI Arc/Info Export File,[?],5
INCOMPLETE,x-fmt/227,Geography Markup Language,[?],0
STUB,x-fmt/228,Applixware Bitmap,[?],5
INCOMPLETE,x-fmt/229,Intergraph Raster Image,[?],0
INCOMPLETE,x-fmt/23,Microsoft Excel Backup,[?],0
STUB,x-fmt/230,MIDI Audio,[?],5
STUB,x-fmt/231,ESRI MapInfo Export File,[?],5
INCOMPLETE,x-fmt/232,Microsoft Project Export File,[?],0
INCOMPLETE,x-fmt/233,Paint Shop Pro Image,3,0
INCOMPLETE,x-fmt/234,Paint Shop Pro Image,5,0
STUB,x-fmt/235,ESRI Arc/View ShapeFile,[?],5
INCOMPLETE,x-fmt/236,WordStar for MS-DOS Document,5.5,0
INCOMPLETE,x-fmt/237,WordStar for MS-DOS Document,6.0,0
STUB,x-fmt/238,Microsoft Access Database,95,5
STUB,x-fmt/239,Microsoft Access Database,97,5
INCOMPLETE,x-fmt/24,AutoCAD Block Attribute Template,[?],0
STUB,x-fmt/240,Microsoft Access Database,2000,5
STUB,x-fmt/241,Microsoft Access Database,2002,5
INCOMPLETE,x-fmt/242,Microsoft FoxPro Database,2.6,0
INCOMPLETE,x-fmt/243,Microsoft Project,4.0,0
INCOMPLETE,x-fmt/244,Microsoft Project,95,0
INCOMPLETE,x-fmt/245,Microsoft Project,98,0
INCOMPLETE,x-fmt/246,Microsoft Project,2000,0
INCOMPLETE,x-fmt/247,Microsoft Project file,2002,0
STUB,x-fmt/248,Microsoft Outlook Personal Folders (ANSI),1997-2002,5
STUB,x-fmt/249,Microsoft Outlook Personal Folders (Unicode),2003-2007,5
INCOMPLETE,x-fmt/25,OS/2 Bitmap,1.0,0
INCOMPLETE,x-fmt/250,Microsoft Outlook Personal Folders,[?],0
INCOMPLETE,x-fmt/251,Microsoft Outlook Personal Folders,[?],0
INCOMPLETE,x-fmt/252,Microsoft Publisher,2.0,0
INCOMPLETE,x-fmt/253,Microsoft Publisher,95,0
INCOMPLETE,x-fmt/254,Microsoft Publisher,97,0
INCOMPLETE,x-fmt/255,Microsoft Publisher,98,0
INCOMPLETE,x-fmt/256,Microsoft Publisher,2000,0
INCOMPLETE,x-fmt/257,Microsoft Publisher,2002,0
INCOMPLETE,x-fmt/258,Microsoft Visio Drawing,2000,0
INCOMPLETE,x-fmt/259,Microsoft Visio Drawing,2002,0
INCOMPLETE,x-fmt/26,AutoCAD Batch Plot File,1.0-R14,0
INCOMPLETE,x-fmt/260,WordStar for MS-DOS Document,4.0,0
INCOMPLETE,x-fmt/261,WordStar for MS-DOS Document,7.0,0
INCOMPLETE,x-fmt/262,WordStar for Windows Document,2.0,0
STUB,x-fmt/263,ZIP Format,[?],5
INCOMPLETE,x-fmt/264,RAR Format,[?],0
STUB,x-fmt/265,Tape Archive Format,[?],5
STUB,x-fmt/266,GZIP Format,[?],5
STUB,x-fmt/267,BZIP Compressed Archive,[?],5
STUB,x-fmt/268,BZIP2 Compressed Archive,[?],5
INCOMPLETE,x-fmt/269,ZOO Compressed Archive,[?],0
INCOMPLETE,x-fmt/27,AutoCAD Batch Plot File,2000-2005,0
INCOMPLETE,x-fmt/270,OS/2 Bitmap,2.0,0
STUB,x-fmt/271,dBASE Database,III+,5
INCOMPLETE,x-fmt/272,dBASE Database,V,0
INCOMPLETE,x-fmt/273,Microsoft Word for MS-DOS Document,3.0,0
INCOMPLETE,x-fmt/274,Microsoft Word for MS-DOS Document,4.0,0
INCOMPLETE,x-fmt/275,Microsoft Word for MS-DOS Document,5.0,0
INCOMPLETE,x-fmt/276,Microsoft Word for MS-DOS Document,5.5,0
INCOMPLETE,x-fmt/277,Real Video,[?],0
INCOMPLETE,x-fmt/278,Real Audio,[?],0
INCOMPLETE,x-fmt/279,MPEG 1/2 Audio Layer 3 Streaming,[?],0
STUB,x-fmt/28,CALS Compressed Bitmap,[?],5
INCOMPLETE,x-fmt/280,XML Schema Definition,[?],0
INCOMPLETE,x-fmt/281,Extensible Stylesheet Language,[?],0
INCOMPLETE,x-fmt/282,8-bit ANSI Text,[?],0
INCOMPLETE,x-fmt/283,8-bit ASCII Text,[?],0
INCOMPLETE,x-fmt/284,IBM DisplayWrite Final Form Text File,[?],0
INCOMPLETE,x-fmt/285,IBM DisplayWrite Revisable Form Text File,[?],0
INCOMPLETE,x-fmt/286,DEC Data Exchange File,[?],0
INCOMPLETE,x-fmt/287,DEC WPS Plus Document,[?],0
INCOMPLETE,x-fmt/288,IBM DisplayWrite Document,2,0
INCOMPLETE,x-fmt/289,IBM DisplayWrite Document,3,0
STUB,x-fmt/29,CorelDraw Drawing,6.0,5
STUB,x-fmt/290,AMI Draw Vector Image,[?],5
STUB,x-fmt/291,CorelDraw Drawing,7.0,5
STUB,x-fmt/292,CorelDraw Drawing,8.0,5
INCOMPLETE,x-fmt/293,Hewlett Packard Graphics Language,[?],0
INCOMPLETE,x-fmt/294,Micrografx Draw,3.0,0
INCOMPLETE,x-fmt/295,Micrografx Draw,4.0,0
INCOMPLETE,x-fmt/296,Micrografx Designer,3.1,0
INCOMPLETE,x-fmt/297,Paint Shop Pro Image,6,0
INCOMPLETE,x-fmt/298,Paint Shop Pro Image,7,0
INCOMPLETE,x-fmt/299,X-Windows Bitmap,X10,0
INCOMPLETE,x-fmt/3,Online Description Tool Format,[?],0
INCOMPLETE,x-fmt/30,CorelDraw Template,[?],0
INCOMPLETE,x-fmt/300,X-Windows Dump File,X10,0
INCOMPLETE,x-fmt/301,ACBM Graphics,[?],0
STUB,x-fmt/302,Adobe FrameMaker Document,8.0,5
STUB,x-fmt/303,Aldus Freehand Drawing,3,5
INCOMPLETE,x-fmt/304,Aldus Freehand Drawing,4,0
INCOMPLETE,x-fmt/305,Apple Sound,[?],0
INCOMPLETE,x-fmt/306,AutoSketch Drawing,[?],0
INCOMPLETE,x-fmt/307,Paradox Database Memo Field,[?],0
INCOMPLETE,x-fmt/308,Btrieve Database,5.1,0
STUB,x-fmt/309,ChiWriter Document,3,5
INCOMPLETE,x-fmt/31,CorelDraw Compressed Drawing,[?],0
INCOMPLETE,x-fmt/310,Corel Chart,[?],0
INCOMPLETE,x-fmt/311,dBASE Text Memo,[?],0
INCOMPLETE,x-fmt/312,DesignCAD Drawing,[?],0
INCOMPLETE,x-fmt/313,DesignCAD for Windows Drawing,[?],0
STUB,x-fmt/314,Digital Terrain Elevation Data,[?],5
INCOMPLETE,x-fmt/315,Document Type Definition,[?],0
INCOMPLETE,x-fmt/316,Dr Halo Bitmap,[?],0
INCOMPLETE,x-fmt/317,ESRI Arc/View Project,[?],0
INCOMPLETE,x-fmt/318,FileMaker Pro Database,3,0
INCOMPLETE,x-fmt/319,FileMaker Pro Database,5,0
INCOMPLETE,x-fmt/32,Harvard Graphics Chart,3.0,0
STUB,x-fmt/320,Fractal Image,[?],5
INCOMPLETE,x-fmt/321,Framework Database,II,0
INCOMPLETE,x-fmt/322,Framework Database,III,0
INCOMPLETE,x-fmt/323,Framework Database,IV,0
INCOMPLETE,x-fmt/324,Harvard Graphics Presentation,2.0,0
INCOMPLETE,x-fmt/325,Harvard Graphics Vector Graphics,[?],0
INCOMPLETE,x-fmt/326,Hewlett Packard AdvanceWrite Text File,[?],0
INCOMPLETE,x-fmt/327,IntelliDraw Vector Graphics,[?],0
INCOMPLETE,x-fmt/328,InterBase Database,[?],0
INCOMPLETE,x-fmt/329,Interleaf Document,[?],0
INCOMPLETE,x-fmt/33,Corel R.A.V.E. File,[?],0
INCOMPLETE,x-fmt/330,JustWrite Text Document,[?],0
INCOMPLETE,x-fmt/331,Lotus 1-2-3 Spreadsheet Formatting File,2.0,0
INCOMPLETE,x-fmt/332,Lotus 1-2-3 Spreadsheet Formatting File,3.0,0
INCOMPLETE,x-fmt/333,Lotus Approach View File,97,0
INCOMPLETE,x-fmt/334,Lotus Approach View File,[?],0
INCOMPLETE,x-fmt/335,Lotus Freelance Smartmaster Graphics,[?],0
INCOMPLETE,x-fmt/336,Lotus Notes Database,2,0
INCOMPLETE,x-fmt/337,Lotus Notes Database,3,0
INCOMPLETE,x-fmt/338,Lotus Notes Database,4,0
INCOMPLETE,x-fmt/339,Lotus Notes File,[?],0
STUB,x-fmt/34,Corel Presentation Exchange File,5.0,5
INCOMPLETE,x-fmt/340,Lotus WordPro Document,96/97,0
INCOMPLETE,x-fmt/341,Macromedia Director,[?],0
INCOMPLETE,x-fmt/342,Microsoft FoxPro Memo,[?],0
INCOMPLETE,x-fmt/343,Microsoft Visual FoxPro Table,[?],0
INCOMPLETE,x-fmt/344,Microsoft Works Database,[?],0
INCOMPLETE,x-fmt/345,Microsoft Works Document,[?],0
INCOMPLETE,x-fmt/346,Microstation CAD Drawing,95,0
INCOMPLETE,x-fmt/347,MultiMate Text File,4.x,0
INCOMPLETE,x-fmt/348,Multipage Zsoft Paintbrush Bitmap Graphics,[?],0
INCOMPLETE,x-fmt/349,Nota Bene Text File,[?],0
STUB,x-fmt/35,Corel Presentation Exchange File,6/7,5
INCOMPLETE,x-fmt/350,OmniPage Pro Document,[?],0
INCOMPLETE,x-fmt/351,PageMaker Document,3.0,0
INCOMPLETE,x-fmt/352,PageMaker Document,4.0,0
INCOMPLETE,x-fmt/353,Professional Write Text File,[?],0
INCOMPLETE,x-fmt/354,SAP Document,[?],0
INCOMPLETE,x-fmt/355,SAS Data File,[?],0
INCOMPLETE,x-fmt/356,SAS for MS-DOS Database,[?],0
INCOMPLETE,x-fmt/357,Scanstudio 16-Colour Bitmap,[?],0
INCOMPLETE,x-fmt/358,Silicon Graphics Graphics File,[?],0
INCOMPLETE,x-fmt/359,StarOffice Calc,5.1,0
INCOMPLETE,x-fmt/36,Corel CMX Compressed,[?],0
INCOMPLETE,x-fmt/360,StarOffice Impress,5.1,0
INCOMPLETE,x-fmt/361,StatGraphics Data File,[?],0
INCOMPLETE,x-fmt/362,StratGraphics Data File,[?],0
INCOMPLETE,x-fmt/363,SuperCalc Spreadsheet,4,0
INCOMPLETE,x-fmt/364,SuperCalc Spreadsheet,5,0
INCOMPLETE,x-fmt/365,TeX Binary File,[?],0
INCOMPLETE,x-fmt/367,Truevision Graphics Adapter,[?],0
INCOMPLETE,x-fmt/368,VisiCalc Database,[?],0
INCOMPLETE,x-fmt/369,Vista Pro Graphics,[?],0
STUB,x-fmt/37,AutoCAD Colour-Dependant Plot Style Table,[?],5
INCOMPLETE,x-fmt/370,WordStar for MS-DOS Document,3.0,0
INCOMPLETE,x-fmt/371,XYWrite for Windows Document,4.0,0
INCOMPLETE,x-fmt/372,XYWrite Document,III+,0
INCOMPLETE,x-fmt/373,XYWrite Document,IV,0
STUB,x-fmt/374,CorelDraw Drawing,9.0,5
STUB,x-fmt/375,CorelDraw Drawing,10.0,5
INCOMPLETE,x-fmt/376,Paint Shop Pro Image,8,0
INCOMPLETE,x-fmt/377,Paint Shop Pro Image,4,0
STUB,x-fmt/378,CorelDraw Drawing,11.0,5
INCOMPLETE,x-fmt/379,CorelDraw Drawing,3.0,0
INCOMPLETE,x-fmt/38,AutoCAD Custom Dictionary,[?],0
INCOMPLETE,x-fmt/380,dBASE for Windows database,5.0,0
INCOMPLETE,x-fmt/381,Dia Graphics Format,[?],0
STUB,x-fmt/382,Macromedia FLV,1,5
STUB,x-fmt/383,Flexible Image Transport System,[?],5
ADEQUATE,x-fmt/384,Quicktime,[?],7
STUB,x-fmt/385,MPEG-1 Video Format,[?],5
STUB,x-fmt/386,MPEG-2 Video Format,[?],5
STUB,x-fmt/387,Exchangeable Image File Format (Uncompressed),2.2,5
STUB,x-fmt/388,Exchangeable Image File Format (Uncompressed),2.1,5
STUB,x-fmt/389,Exchangeable Image File Format (Audio),2.1,5
INCOMPLETE,x-fmt/39,AutoCAD dbConnect Query Set,[?],0
STUB,x-fmt/390,Exchangeable Image File Format (Compressed),2.1,5
STUB,x-fmt/391,Exchangeable Image File Format (Compressed),2.2,5
STUB,x-fmt/392,JPEG2000,[?],5
STUB,x-fmt/393,WordPerfect for MS-DOS Document,5.0,5
STUB,x-fmt/394,WordPerfect for MS-DOS/Windows Document,5.1,5
STUB,x-fmt/395,WordPerfect Graphics Metafile,1.0,5
STUB,x-fmt/396,Exchangeable Image File Format (Audio),2.2,5
STUB,x-fmt/397,Exchangeable Image File Format (Audio),2.0,5
STUB,x-fmt/398,Exchangeable Image File Format (Compressed),2.0,5
STUB,x-fmt/399,Exchangeable Image File Format (Uncompressed),2.0,5
INCOMPLETE,x-fmt/4,Write for Windows Document,3.1,0
INCOMPLETE,x-fmt/40,AutoCAD dbConnect Template Set,[?],0
INCOMPLETE,x-fmt/400,StarOffice Write,5.1,0
INCOMPLETE,x-fmt/401,StarOffice Draw,5.1,0
INCOMPLETE,x-fmt/402,StarOffice Draw,5.2,0
INCOMPLETE,x-fmt/403,StarOffice Write,5.2,0
INCOMPLETE,x-fmt/404,StarOffice Calc,5.2,0
INCOMPLETE,x-fmt/405,StarOffice Impress,5.2,0
STUB,x-fmt/406,PostScript,2.0,5
STUB,x-fmt/407,PostScript,2.1,5
STUB,x-fmt/408,PostScript,3.0,5
STUB,x-fmt/409,MS-DOS Executable,[?],5
STUB,x-fmt/41,Data Interchange Format,[?],5
STUB,x-fmt/410,Windows New Executable,[?],5
STUB,x-fmt/411,Windows Portable Executable,[?],5
STUB,x-fmt/412,Java Archive Format,[?],5
INCOMPLETE,x-fmt/413,Batch file (executable),[?],0
INCOMPLETE,x-fmt/414,Windows Cabinet File,[?],0
STUB,x-fmt/415,Java Compiled Object Code,[?],5
STUB,x-fmt/416,BinHex Binary Text,[?],5
INCOMPLETE,x-fmt/417,HTML Extension File,[?],0
INCOMPLETE,x-fmt/418,Icon file format,[?],0
INCOMPLETE,x-fmt/419,DVD data file,[?],0
INCOMPLETE,x-fmt/42,Wordperfect Secondary File,5.0,0
INCOMPLETE,x-fmt/420,Windows Setup File,[?],0
INCOMPLETE,x-fmt/421,Text Configuration file,[?],0
INCOMPLETE,x-fmt/422,Java language source code file,[?],0
INCOMPLETE,x-fmt/423,JavaScript file,[?],0
INCOMPLETE,x-fmt/424,Deluxe Paint bitmap,[?],0
INCOMPLETE,x-fmt/425,generic library file,[?],0
INCOMPLETE,x-fmt/426,License file,[?],0
INCOMPLETE,x-fmt/427,Acrobat Language definition file,[?],0
STUB,x-fmt/428,Microsoft Windows Shortcut,[?],5
INCOMPLETE,x-fmt/429,Microsoft Web Archive,[?],0
INCOMPLETE,x-fmt/43,Wordperfect Secondary File,5.1/5.2,0
STUB,x-fmt/430,Microsoft Outlook Email Message,97-2003,5
ADEQUATE,x-fmt/432,3DM,4,7
ADEQUATE,x-fmt/433,3DM,1,7
ADEQUATE,x-fmt/434,3DM,2,7
ADEQUATE,x-fmt/435,3DM,3,7
STUB,x-fmt/436,CATIA Model,4,5
INCOMPLETE,x-fmt/437,CATIA Project,4,0
STUB,x-fmt/438,CATIA Material Description,5,5
STUB,x-fmt/439,CATIA Model (Part Description),5,5
STUB,x-fmt/44,WordPerfect for MS-DOS/Windows Document,6.0,5
STUB,x-fmt/440,CATIA Product Description,5,5
INCOMPLETE,x-fmt/441,AutoCAD Database File Locking Information,n/a,0
INCOMPLETE,x-fmt/442,form*Z Project File,n/a,0
INCOMPLETE,x-fmt/443,Revit Family File,n/a,0
INCOMPLETE,x-fmt/444,Revit Family Template,n/a,0
INCOMPLETE,x-fmt/445,Revit Template,n/a,0
INCOMPLETE,x-fmt/446,Revit External Group,n/a,0
INCOMPLETE,x-fmt/447,Revit Project,n/a,0
INCOMPLETE,x-fmt/448,Revit Workspace,n/a,0
INCOMPLETE,x-fmt/449,Steel Detailing Neutral Format,[?],0
INCOMPLETE,x-fmt/45,Microsoft Word Template,[?],0
STUB,x-fmt/450,Adobe InDesign Document,n/a,5
STUB,x-fmt/451,SketchUp Document Backup,n/a,5
STUB,x-fmt/452,SketchUp Document,n/a,5
STUB,x-fmt/453,TrueType Font,n/a,5
STUB,x-fmt/454,Microsoft Internet Shortcut,n/a,5
STUB,x-fmt/455,AutoCAD Drawing,2007-2008,5
INCOMPLETE,x-fmt/46,Microsoft Excel ODBC Query,[?],0
INCOMPLETE,x-fmt/47,Micrografx Draw,2.0,0
INCOMPLETE,x-fmt/48,Visual Basic Macro,[?],0
STUB,x-fmt/49,AutoCAD Design Web Format,[?],5
INCOMPLETE,x-fmt/5,Works for Macintosh Document,4.0,0
INCOMPLETE,x-fmt/50,AutoCAD Drawing Standards File,[?],0
INCOMPLETE,x-fmt/51,AutoCAD Drawing Template,[?],0
INCOMPLETE,x-fmt/52,Drawing Interchange Format Style Extract,[?],0
INCOMPLETE,x-fmt/53,Macromedia Freehand,[?],0
INCOMPLETE,x-fmt/54,AutoCAD Font Mapping Table,[?],0
INCOMPLETE,x-fmt/55,Frame Vector Metafile,[?],0
INCOMPLETE,x-fmt/56,Kodak FlashPix Image,[?],0
INCOMPLETE,x-fmt/57,Ventura Publisher Vector Graphics,[?],0
INCOMPLETE,x-fmt/58,Microsoft Excel Web Query,[?],0
INCOMPLETE,x-fmt/59,AutoCAD Last Saved Layer State,[?],0
INCOMPLETE,x-fmt/6,FoxPro Database,2.0,0
INCOMPLETE,x-fmt/60,AutoCAD Linetype Definition File,[?],0
INCOMPLETE,x-fmt/61,AutoCAD Landscape Library,[?],0
INCOMPLETE,x-fmt/62,Log File,[?],0
INCOMPLETE,x-fmt/63,AutoLISP File,[?],0
INCOMPLETE,x-fmt/64,Microsoft Word for  Macintosh Document,4.0,0
INCOMPLETE,x-fmt/65,Microsoft Word for  Macintosh Document,5.0,0
STUB,x-fmt/66,Microsoft Access Database,2.0,5
INCOMPLETE,x-fmt/67,Met Metafile,[?],0
INCOMPLETE,x-fmt/68,AutoCAD Compiled Menu,[?],0
INCOMPLETE,x-fmt/69,AutoLISP Menu Source File,[?],0
INCOMPLETE,x-fmt/7,FoxPro Database,2.5,0
INCOMPLETE,x-fmt/70,AutoCAD Menu Resource File,[?],0
INCOMPLETE,x-fmt/71,AutoCAD Source Menu File,[?],0
INCOMPLETE,x-fmt/72,AutoCAD Template Menu File,[?],0
INCOMPLETE,x-fmt/73,Microsoft Outlook Address Book,[?],0
INCOMPLETE,x-fmt/74,Microsoft Excel OLAP Query,[?],0
INCOMPLETE,x-fmt/75,Microsoft Outlook Personal Address Book,[?],0
INCOMPLETE,x-fmt/76,CorelDraw Pattern,[?],0
INCOMPLETE,x-fmt/77,AutoCAD Plot Configuration File,R14,0
STUB,x-fmt/78,AutoCAD Plot Configuration File,2000,5
INCOMPLETE,x-fmt/79,AutoCAD Plot Configuration File,1.0-R13,0
STUB,x-fmt/8,dBASE Database,II,5
INCOMPLETE,x-fmt/80,Macintosh PICT Image,[?],0
INCOMPLETE,x-fmt/81,Inkwriter/Notetaker Template,[?],0
INCOMPLETE,x-fmt/82,Lotus 1-2-3 Chart,[?],0
INCOMPLETE,x-fmt/83,Hewlett Packard Vector Graphic Plotter File,[?],0
INCOMPLETE,x-fmt/84,Microsoft Powerpoint Design Template,[?],0
INCOMPLETE,x-fmt/85,Picture Publisher Bitmap,5.0,0
INCOMPLETE,x-fmt/86,Microsoft Powerpoint Add-In,[?],0
INCOMPLETE,x-fmt/87,Microsoft Powerpoint Show,[?],0
STUB,x-fmt/88,Microsoft Powerpoint Presentation,4.0,5
INCOMPLETE,x-fmt/89,Freelance File,1.0-2.1,0
STUB,x-fmt/9,dBASE Database,III,5
INCOMPLETE,x-fmt/90,Microsoft Print File,[?],0
STUB,x-fmt/91,Postscript,1.0,5
STUB,x-fmt/92,Adobe Photoshop,[?],5
INCOMPLETE,x-fmt/93,Postscript Support File,[?],0
INCOMPLETE,x-fmt/94,Pocket Word Document,[?],0
INCOMPLETE,x-fmt/95,Inkwriter/Notetaker Document,[?],0
INCOMPLETE,x-fmt/96,Pocket Word Template,[?],0
INCOMPLETE,x-fmt/97,Microsoft Excel OLE DB Query,[?],0
INCOMPLETE,x-fmt/98,AutoCAD ACIS Export File,[?],0
INCOMPLETE,x-fmt/99,Schedule+ Contacts,[?],0
STUB,fido-fmt/189.word,Microsoft Office Open XML - Word,[?],5
STUB,fido-fmt/189.xl,Microsoft Office Open XML - Excel,[?],5
STUB,fido-fmt/189.ppt,Microsoft Office Open XML - Powerpoint,[?],5
STUB,fido-x-fmt/384,Quicktime,[?],5
